,Text,X,Y,cluster
46,\fArial|b0|i0;\H1.4986;valid for machined surface,-44,11,3
47,\fArial|b0|i0;\H1.4986;valid for machined surface,15,11,3
48,\fArial|b0|i0;\H2.0000;Edge finish:,7,31,3
49,\fArial|b0|i0;1,-33,-24,3
50,\fArial|b0|i0;\H2.0000;unless otherwise specified within the drawing,-27,-27,3
51,\fArial|b0|i0;\H2.0000;Nominal geometry (theoretically exact) defined by CAD file:,-44,-16,3
52,1302\H1.25429x; \H0.79726x;\PLimits according to:                                                     \H0.5x; \H2x; ISO 286-2\H1.25429x; \H0.79726x;\P\H1.23656x; \H0.8087x;\P\H1.23236x; },-44,7,3
53,except for fiber\P\fArial|b0|i0;\H2.0000;Residue classification                                    acc. to table 01,-44,-32,3
54,\fArial|b0|i0;\H2.0000;Material:,-44,46,3
55,1.4021,-28,44,3
56,\fArial|b0|i0;\H2.0000;Quality standard:,-4,46,3
57,\fArial|b0|i0;\H2.0000;Raw part No:,-44,36,3
58,\fArial|b0|i0;\H2.0000;Surface/material treatment:,-44,41,3
59,\fArial|b0|i0;\H2.0000;Packaging:,-44,-52,3
60,\fArial|b0|i0;\H2.0000;16% - rule,-44,-12,3
61,EN 10095,21,44,3
62,Hardened to 48 HRC +2/-0,-9,38,3
63,-,-9,34,3
64,Rz 16,-34,21,3
65,"-0,2",18,25,3
66,"-0,05",18,21,3
67,"+0,4",34,21,3
68,not applicable,22,-14,3
69,5129275_Rev01.stp,-9,-23,3
70,-,14,-44,3
71,stored separately,-9,-54,4
72,\fArial|b0|i0;\H2.0000;All dimensions apply to the finished part including surface/material treatment.,-44,56,3
73,\fArial|b0|i0;\H2.0000;Surface texture:,-44,34,3
74,\fArial|b0|i0;\H1.4986;valid for machined surface,-44,13,3
75,\fArial|b0|i0;\H1.4986;valid for machined surface,15,13,3
76,\fArial|b0|i0;\H2.0000;Edge finish:,7,34,3
77,\fArial|b0|i0;\H2.0000;Nominal geometry (theoretically exact) defined by CAD file:,-44,-13,3
78,1302\H1.25429x; \H0.79726x;\PLimits according to:                                                     \H0.5x; \H2x; ISO 286-2\H1.25429x; \H0.79726x;\P\H1.23656x; \H0.8087x;\P\H1.23236x; },-44,10,3
79,except for fiber\P\fArial|b0|i0;\H2.0000;Residue classification                                    acc. to table 01,-44,-34,3
80,\fArial|b0|i0;\H2.0000;Material:,-44,49,3
81,1.4021,-33,46,3
82,\fArial|b0|i0;\H2.0000;Quality standard:,-4,49,3
83,\fArial|b0|i0;\H2.0000;Raw part No:,-44,39,3
84,\fArial|b0|i0;\H2.0000;Surface/material treatment:,-44,44,3
85,\fArial|b0|i0;\H2.0000;Packaging:,-44,-54,3
86,\fArial|b0|i0;\H2.0000;16% - rule,-44,-9,3
87,EN 10095,21,46,3
88,Hardened to 48 HRC +2/-0,-9,41,3
89,-,-9,36,3
90,Rz 16,-34,23,3
91,"-0,2",18,27,3
92,"-0,05",18,23,3
93,"+0,4",34,23,3
94,not applicable,22,-11,3
95,5129275_Rev01.stp,-15,-20,3
96,-,14,-47,3
97,-,-9,-57,4
98,\fArial|b0|i0;\H2.0000;Valid for all untoleranced dimensions:,-44,-24,3
99,\fArial|b0|i0;\H2.0000;All dimensions apply to the finished part including surface/material treatment.,-44,44,3
100,\fArial|b0|i0;\H2.0000;Surface texture:,-44,21,3
101,\fArial|b0|i0;\H1.4986;valid for machined surface,-44,1,3
102,\fArial|b0|i0;\H1.4986;valid for machined surface,15,1,3
103,\fArial|b0|i0;\H2.0000;Edge finish:,7,21,3
104,\fArial|b0|i0;\H2.0000;Nominal geometry (theoretically exact) defined by CAD file:,-44,-26,3
105,1302\H1.25429x; \H0.79726x;\PLimits according to:                                                     \H0.5x; \H2x; ISO 286-2\H1.25429x; \H0.79726x;\P\H1.23656x; \H0.8087x;\P\H1.23236x; },-44,-3,3
106,\fArial|b0|i0;\H2.0000;Material:,-44,36,3
107,1.4021,-33,34,3
108,\fArial|b0|i0;\H2.0000;Quality standard:,-4,36,3
109,\fArial|b0|i0;\H2.0000;Raw part No:,-44,26,3
110,\fArial|b0|i0;\H2.0000;Surface/material treatment:,-44,31,3
111,\fArial|b0|i0;\H2.0000;16% - rule,-44,-22,3
112,EN 10095,21,34,3
113,Hardened to 48 HRC +2/-0,-9,28,3
114,-,-9,24,3
115,Rz 16,-34,11,3
116,"-0,2",18,15,3
117,"-0,05",18,11,3
118,"+0,4",34,11,3
119,not applicable,22,-24,3
120,5129275_Rev01.stp,-15,-33,3
121,\fArial|b0|i0;\H2.0000;Valid for all untoleranced dimensions:,-44,-37,3
122,\fArial|b0|i0;\H2.0000;Cleanliness:,0,11,3
123,\fArial|b0|i0;\H2.0000;General tolerances according to:\fArial|b0|i0;\H2.5000;    ISO 2768 -,0,3,3
124,\fArial|b0|i0;\H2.0000;Packaging:,0,18,3
125,\fArial|b0|i0;\H2.0000;Surface texture:,0,42,3
126,\fArial|b0|i0;\H2.0000;Edge finish:,51,42,3
127,\fArial|b0|i0;\H1.4986;according to DIN ISO 13715,59,21,3
128,\fArial|b0|i0;\H2.0000;All dimensions apply to the finished part including surface/material treatment.,0,55,3
129,\fArial|b0|i0;\H2.0000;Corresponding CAD-file:,0,49,3
130,\fArial|b0|i0;\H1.4986;according to DIN ISO 1302,1,21,3
131,\fArial|b0|i0;\H2.0000;Cleanliness:,0,11,3
132,\fArial|b0|i0;\H2.0000;General tolerances according to:\fArial|b0|i0;\H2.5000;    ISO 2768 -,0,3,3
133,\fArial|b0|i0;\H2.0000;Packaging:,0,18,3
134,\fArial|b0|i0;\H2.0000;Surface texture:,0,42,3
135,\fArial|b0|i0;\H2.0000;Edge finish:,51,42,3
136,\fArial|b0|i0;\H1.4986;according to DIN ISO 13715,59,21,3
137,\fArial|b0|i0;\H2.0000;All dimensions apply to the finished part including surface/material treatment.,0,55,3
138,\fArial|b0|i0;\H2.0000;Corresponding CAD-file:,0,49,3
139,\fArial|b0|i0;\H1.4986;according to DIN ISO 1302,1,21,3
140,3865240_Rev03.stp,37,45,3
141,Rz 16,10,31,3
142,"-0,2",62,35,3
143,"-0,05",62,31,3
144,"+0,4",78,31,3
145,stored separately,38,14,3
146,ultrasonically cleaned and degreased,23,7,3
147,mH,62,1,3
148,"\fArial|b0|i0;\H2.0000;0,4",-22,2,3
149,\fArial|b0|i0;\H2.0000;A1,36,2,3
150,"\fArial|b0|i0;\H2.0000;≤ 0,4",22,-10,3
151,"\fArial|b0|i0;\H2.0000;≤ 0,2",22,2,3
152,"\fArial|b0|i0;\H2.0000;8,0",1,2,3
153,"\fArial|b0|i0;\H2.0000;8,0",1,14,3
154,"\fArial|b0|i0;\H2.0000;15,0",1,-10,3
155,"\fArial|b0|i0;\H2.0000;0,7",-22,-10,3
156,{\H0.57143x;General tolerances according to: \P\H0.81496x; \H0.12271x;\P\H12.5x;DIN EN ISO 8062-3 - DCTG\H1.11277x; },-44,39,3
157,\fArial|b0|i0;\H2.0000;A3,36,-22,3
158,\fArial|b0|i0;\H2.0000;A4,36,-34,3
159,\fArial|b0|i0;\H2.0000;A2,36,-10,3
160,\fArial|b0|i0;\H2.0000;-,36,15,3
161,\fArial|b0|i0;\H2.0000;Exceptions,36,24,3
162,\fArial|b0|i0;\H2.0000;Cleanliness:,-44,46,3
163,\fArial|b0|i0;\H1.4986;according to DIN ISO 1302,-43,71,5
164,\fArial|b0|i0;\H2.0000;General mold drafts:,-44,67,5
165,\fArial|b0|i0;\H2.0000;Packaging:,-44,53,3
166,\fArial|b0|i0;\H2.0000;Edge finish:,7,91,6
167,\fArial|b0|i0;\H2.0000;General pore class:,7,67,3
168,\fArial|b0|i0;\H2.0000;Surface texture:,-44,91,7
169,"\fArial|b0|i0;\H2.0000;This is an auxiliary drawing, the missing dimensions have to be sourced from the corresponding CAD-file:",-44,101,8
170,\fArial|b0|i0;\H2.0000;All dimensions apply to the finished part including surface/material treatment.,-44,108,8
171,\fArial|b0|i0;\H2.5000;2,-38,2,3
172,\fArial|b0|i0;\H2.5600;3,-38,-10,3
173,"\fArial|b0|i0;\H2.0000;≤ 0,6",22,-22,3
174,"\fArial|b0|i0;\H2.0000;30,0",1,-22,3
175,"\fArial|b0|i0;\H2.0000;1,0",-22,-22,3
176,"\fArial|b0|i0;\H2.0000;2,0",-22,-34,3
177,\fArial|b0|i0;\H2.0000;Pore\P\fArial|b0|i0;\H2.0000;class,-38,24,3
178,\fArial|b0|i0;\H2.5000;1,-38,14,3
179,"\fArial|b0|i0;\H2.0000;0,4",-22,14,3
180,"\fArial|b0|i0;\H2.0000;≤ 1,0",22,-34,3
181,"\fArial|b0|i0;\H2.0000;≤ 0,2",22,14,3
182,\fArial|b0|i0;\H2.5000;4,-38,-22,3
183,\fArial|b0|i0;\H2.5000;5,-38,-34,3
184,"\fArial|b0|i0;\H2.0000;30,0",1,-34,3
185,P  distance to other pores of 5 mm.},-42,-42,3
186,\fArial|b0|i0;\H2.0000;Min. distance between\P\fArial|b0|i0;\H2.0000;pores [mm],1,24,3
187,\fArial|b0|i0;\H2.0000;Casting defects:,-44,31,3
188,\fArial|b0|i0;\H2.0000;Max. size of\P\fArial|b0|i0;\H2.0000;pores [mm],-22,24,3
189,\fArial|b0|i0;\H2.0000;|X| [mm],22,24,3
190,\fArial|b0|i0;\H1.4986;according to DIN ISO 13715,15,71,3
191,"\fArial|b0|i0;\H2.0000;0,4",-22,2,3
192,\fArial|b0|i0;\H2.0000;A1,36,2,3
193,"\fArial|b0|i0;\H2.0000;≤ 0,4",22,-10,3
194,"\fArial|b0|i0;\H2.0000;≤ 0,2",22,2,3
195,"\fArial|b0|i0;\H2.0000;8,0",1,2,3
196,"\fArial|b0|i0;\H2.0000;8,0",1,14,3
197,"\fArial|b0|i0;\H2.0000;15,0",1,-10,3
198,"\fArial|b0|i0;\H2.0000;0,7",-22,-10,3
199,{\H0.57143x;General tolerances according to: \P\H0.81496x; \H0.12271x;\P\H12.5x;DIN EN ISO 8062-3 - DCTG\H1.11277x; },-44,39,3
200,\fArial|b0|i0;\H2.0000;A3,36,-22,3
201,\fArial|b0|i0;\H2.0000;A4,36,-34,3
202,\fArial|b0|i0;\H2.0000;A2,36,-10,3
203,\fArial|b0|i0;\H2.0000;-,36,15,3
204,\fArial|b0|i0;\H2.0000;Exceptions,36,24,3
205,\fArial|b0|i0;\H2.0000;Cleanliness:,-44,46,3
206,\fArial|b0|i0;\H1.4986;according to DIN ISO 1302,-43,71,5
207,\fArial|b0|i0;\H2.0000;General mold drafts:,-44,67,5
208,\fArial|b0|i0;\H2.0000;Packaging:,-44,53,3
209,\fArial|b0|i0;\H2.0000;Edge finish:,7,91,6
210,\fArial|b0|i0;\H2.0000;General pore class:,7,67,3
211,\fArial|b0|i0;\H2.0000;Surface texture:,-44,91,7
212,"\fArial|b0|i0;\H2.0000;This is an auxiliary drawing, the missing dimensions have to be sourced from the corresponding CAD-file:",-44,101,8
213,\fArial|b0|i0;\H2.0000;All dimensions apply to the finished part including surface/material treatment.,-44,108,8
214,\fArial|b0|i0;\H2.5000;2,-38,2,3
215,\fArial|b0|i0;\H2.5600;3,-38,-10,3
216,"\fArial|b0|i0;\H2.0000;≤ 0,6",22,-22,3
217,"\fArial|b0|i0;\H2.0000;30,0",1,-22,3
218,"\fArial|b0|i0;\H2.0000;1,0",-22,-22,3
219,"\fArial|b0|i0;\H2.0000;2,0",-22,-34,3
220,\fArial|b0|i0;\H2.0000;Pore\P\fArial|b0|i0;\H2.0000;class,-38,24,3
221,\fArial|b0|i0;\H2.5000;1,-38,14,3
222,"\fArial|b0|i0;\H2.0000;0,4",-22,14,3
223,"\fArial|b0|i0;\H2.0000;≤ 1,0",22,-34,3
224,"\fArial|b0|i0;\H2.0000;≤ 0,2",22,14,3
225,\fArial|b0|i0;\H2.5000;4,-38,-22,3
226,\fArial|b0|i0;\H2.5000;5,-38,-34,3
227,"\fArial|b0|i0;\H2.0000;30,0",1,-34,3
228,P  distance to other pores of 5 mm.},-42,-42,3
229,\fArial|b0|i0;\H2.0000;Min. distance between\P\fArial|b0|i0;\H2.0000;pores [mm],1,24,3
230,\fArial|b0|i0;\H2.0000;Casting defects:,-44,31,3
231,\fArial|b0|i0;\H2.0000;Max. size of\P\fArial|b0|i0;\H2.0000;pores [mm],-22,24,3
232,\fArial|b0|i0;\H2.0000;|X| [mm],22,24,3
233,\fArial|b0|i0;\H1.4986;according to DIN ISO 13715,15,71,3
234,\fArial|b0|i0;\H6.0000;TBD,-9,3,3
235,\fArial|b0|i0;\H2.0000;Cleanliness:,1,27,3
236,"\fArial|b0|i0;\H2.0000;Concepts, principales and rules according to:^IISO 8015\P\fArial|b0|i0;\H2.0000;Dimensions according to:^I^I^IISO 14405 1-3",1,20,3
237,\fArial|b0|i0;\H2.0000;Packaging:,1,34,3
238,\fArial|b0|i0;\H2.0000;Surface texture:,0,58,3
239,\fArial|b0|i0;\H2.0000;Edge finish:,51,58,3
240,\fArial|b0|i0;\H1.4986;according to DIN ISO 13715,59,38,3
241,\fArial|b0|i0;\H2.0000;All dimensions apply to the finished part including surface/material treatment.,0,65,3
242,\fArial|b0|i0;\H1.4986;according to DIN ISO 1302,1,38,3
243,\fArial|b0|i0;\H2.0000;Nominal geometry (theoretically exact) defined by CAD file:,1,13,3
244,\fArial|b0|i0;\H2.0000;unless otherwise specified within the drawing,14,3,3
245,\fArial|b0|i0;1,8,5,3
246,\fArial|b0|i0;\H2.0000;Cleanliness:,1,27,3
247,"\fArial|b0|i0;\H2.0000;Concepts, principales and rules according to:^IISO 8015\P\fArial|b0|i0;\H2.0000;Dimensions according to:^I^I^IISO 14405 1-3",1,20,3
248,\fArial|b0|i0;\H2.0000;Packaging:,1,34,3
249,\fArial|b0|i0;\H2.0000;Surface texture:,0,58,3
250,\fArial|b0|i0;\H2.0000;Edge finish:,51,58,3
251,\fArial|b0|i0;\H1.4986;according to DIN ISO 13715,59,38,3
252,\fArial|b0|i0;\H2.0000;All dimensions apply to the finished part including surface/material treatment.,0,65,3
253,\fArial|b0|i0;\H1.4986;according to DIN ISO 1302,1,38,3
254,\fArial|b0|i0;\H2.0000;Nominal geometry (theoretically exact) defined by CAD file:,1,13,3
255,\fArial|b0|i0;\H2.0000;unless otherwise specified within the drawing,14,3,3
256,\fArial|b0|i0;1,8,5,3
257,xvcxv,1,-6,3
258,"-0,05",1,2,3
259,Kantenbruch,-29,-6,3
260,"-0,1",-10,2,3
261,1,-1,-2,3
262,\fArial|b1|i0;\H2.0000;Angelehnt an HN810,1,-2,3
263,\fArial|b1|i0;\H2.0000;Losgröße (Stk.),12,-6,3
264,\fArial|b1|i0;\H2.0000;von,6,-10,3
265,\fArial|b1|i0;\H2.0000;bis,18,-10,3
266,\fArial|b1|i0;\H2.0000;Stichprobengröße (Stk.),36,-8,3
267,\fArial|b0|i0;\H2.0000;9,6,-14,3
268,\fArial|b0|i0;\H2.0000;15,18,-14,3
269,\fArial|b0|i0;\H2.0000;Vollprüfung,36,-14,3
270,\fArial|b0|i0;\H2.0000;16,6,-18,3
271,\fArial|b0|i0;\H2.0000;26,6,-22,3
272,\fArial|b0|i0;\H2.0000;51,6,-26,3
273,\fArial|b0|i0;\H2.0000;25,18,-18,3
274,\fArial|b0|i0;\H2.0000;50,18,-22,3
275,\fArial|b0|i0;\H2.0000;90,18,-26,3
276,\fArial|b0|i0;\H2.0000;13,36,-18,3
277,\fArial|b0|i0;\H2.0000;13,36,-22,3
278,\fArial|b0|i0;\H2.0000;13,36,-26,3
279,\fArial|b0|i0;\H2.0000;150,18,-30,3
280,\fArial|b0|i0;\H2.0000;91,6,-30,3
281,\fArial|b0|i0;\H2.0000;13,36,-30,3
282,\fArial|b0|i0;\H2.0000;280,18,-34,3
283,\fArial|b0|i0;\H2.0000;151,6,-34,3
284,\fArial|b0|i0;\H2.0000;50,36,-34,3
285,\fArial|b0|i0;\H2.0000;500,18,-38,3
286,\fArial|b0|i0;\H2.0000;281,6,-38,3
287,\fArial|b0|i0;\H2.0000;50,36,-38,3
288,\fArial|b0|i0;\H2.0000;1200,18,-42,3
289,\fArial|b0|i0;\H2.0000;501,6,-42,3
290,\fArial|b0|i0;\H2.0000;80,36,-42,3
291,\fArial|b0|i0;\H2.0000;3200,18,-46,3
292,\fArial|b0|i0;\H2.0000;1201,6,-46,3
293,\fArial|b0|i0;\H2.0000;125,36,-46,3
294,\fArial|b0|i0;\H2.0000;1000,18,-50,3
295,\fArial|b0|i0;\H2.0000;3201,6,-50,3
296,\fArial|b0|i0;\H2.0000;200,36,-50,3
297,\fArial|b0|i0;\H6.0000;Wareneingangszeichnung,-49,3,3
298,\fArial|b0|i0;1,0,0,3
299,\fArial|b0|i0;\H2.2000;Only for inquiry,0,-2,3
300,LKA,-17,0,3
301,24.10.2017,-1,0,3
302,\fArial|b0|i0;\H2.2000;Prototype release      -Sample,0,-2,3
303,HUM,-17,0,3
304,15.11.2017,-1,0,3
305,B4,4,-5,3
306,\fArial|b0|i0;\H2.2000;Incoming inspection release,0,-2,3
307,LKA,-17,0,3
308,11.01.2018,-1,0,3
309,\fArial|b0|i0;\H2.2000;Design Freeze Release      -Sample,0,-2,3
310,HUM,-17,0,3
311,11.07.2018,-1,0,3
312,B1,8,-5,3
313,\fArial|b0|i0;\H2.2000;Ready for production release,0,-2,3
314,\fArial|b0|i0;\H2.2000;Equipment release,0,-2,3
315,Freigabe für A-Sample Bestellung,-40,7,3
316,\fArial|b0|i0;\H2.5000;Projektleiter,15,3,3
317,Gerhard Ranegger,14,-3,3
318,Matthias Huschenbett,14,-12,3
319,\fArial|b0|i0;\H2.5000;Techn. Projektleiter,15,-6,3
320,\fArial|b0|i0;\H2.2000;Production release,0,-2,3
321,\fArial|b0|i0;\H2.0000;All dimensions apply to the finished part including surface/material treatment.,-43,52,3
322,\fArial|b0|i0;\H2.0000;Surface texture:,-43,30,3
323,\fArial|b0|i0;\H1.4986;according to DIN ISO 1302,-43,9,3
324,\fArial|b0|i0;\H1.4986;according to DIN ISO 13715,15,9,3
325,\fArial|b0|i0;\H2.0000;Edge finish:,8,30,3
326,\fArial|b0|i0;\H2.0000;Nominal geometry (theoretically exact) defined by CAD file:,-43,-17,3
327,1302\H1.25429x; \H0.79726x;\PLimits according to:                                                     \H0.5x; \H2x; ISO 286-2\H1.25429x; \H0.79726x;\P\H1.23656x; \H0.8087x;\P\H1.23236x; },-43,6,3
328,\fArial|b0|i0;\H2.0000;Material:,-43,45,3
329,1.4021,-32,42,3
330,\fArial|b0|i0;\H2.0000;Quality standard:,-3,45,3
331,\fArial|b0|i0;\H2.0000;Raw part No:,-43,35,3
332,\fArial|b0|i0;\H2.0000;Surface/material treatment:,-43,40,3
333,\fArial|b0|i0;\H2.0000;16% - rule,-43,-13,3
334,\fArial|b0|i0;\H2.0000;Valid for all untoleranced dimensions:,-43,-28,3
335,"{\H0.57143x;Cleanliness:\P\H0.15x;\P\H7.66667x;Part has to be degreased and free of deposits, detachable burrs and visual detectable particles.}",-43,-38,3
336,\fArial|b0|i0;\H2.0000;Delivery conditions:,-43,-50,3
337,\fArial|b0|i0;\H1.4986;valid for machined surface,-43,11,3
338,EN 10095,22,42,3
339,Hardened to 48 HRC +2/-0,-8,37,3
340,-,-8,32,3
341,Rz 16,-33,19,3
342,"-0,2",18,23,3
343,"-0,05",18,19,3
344,"+0,2",32,19,3
345,not applicable,23,-15,3
346,5129275_Rev01.stp,-15,-24,3
347,tbd,-14,-53,4
348,\fArial|b0|i0;\H2.0000;All dimensions apply to the finished part including surface/material treatment.,-43,51,3
349,\fArial|b0|i0;\H2.0000;Surface texture:,-43,28,3
350,\fArial|b0|i0;\H2.0000;Edge finish:,8,28,3
351,\fArial|b0|i0;\H2.0000;Nominal geometry (theoretically exact) defined by CAD file:,-43,-16,3
352,1302\H1.25429x; \H0.79726x;\PTolerances on linear sizes according to:                     \H0.5x;  \H2x;ISO 286\H1.25429x; \H0.79726x;\P\H1.23656x; \H0.8087x;\P\H1.23236x; },-43,4,3
353,\fArial|b0|i0;\H2.0000;Material:,-43,43,3
354,1.4021,-32,41,3
355,\fArial|b0|i0;\H2.0000;Quality standard:,-3,43,3
356,\fArial|b0|i0;\H2.0000;Raw part No:,-43,33,3
357,\fArial|b0|i0;\H2.0000;Surface/material treatment:,-43,38,3
358,\fArial|b0|i0;\H2.0000;Valid for all untoleranced dimensions:,-43,-27,3
359,"{\H0.57143x;Cleanliness:\P\H0.15x;\P\H7.66667x;Part has to be degreased and free of deposits, detachable burrs and visual detectable particles.}",-43,-37,3
360,\fArial|b0|i0;\H2.0000;Delivery conditions:,-43,-49,3
361,EN 10095,22,41,3
362,Hardened to 48 HRC +2/-0,-8,35,3
363,-,-8,31,3
364,Rz 16,-33,17,3
365,"-0,2",18,22,3
366,"-0,05",18,18,3
367,"+0,2",31,18,3
368,5129275_Rev01.stp,-15,-23,3
369,acc. to LV123 - 6.2.1.,-14,-51,4
370,"\A1;R0,5",184,92,9
371,"\A1;R0,5",152,89,10
372,A,156,39,11
373,A,203,39,12
374,"\A1;2{\H1.25;\S+0,1^ -0;}",89,59,13
375,"\A1;4,8{\H1.25;±0,05}",75,53,13
376,A,127,132,14
377,c,116,105,15
378,"0,005",126,105,15
379,"\A1;\fArial|b0|i0;\H1.7500;2x Ø19,2{\H1.25;\S+0^ -0,05;} CT",131,92,15
380,B,231,74,16
381,"Rz 0,25",141,81,17
382,"Rz 1,6",87,168,14
383,"Rpk 0,2",87,163,14
384,"\A1;\fArial|b0|i0;\H1.7500;Ø15,15{\H1.25;\S+0,05^ -0;}",125,95,15
385,2x,275,268,18
386,r,275,260,18
387,"Ø0,05 CZ",283,260,18
388,B,306,261,19
389,"\A1;9,3{\H1.25;\S+0,1^ -0;}",94,54,13
390,Z,203,220,20
391,E,77,151,14
392,#,80,152,14
393,F,91,151,14
394,f,78,143,14
395,"0,01",86,143,14
396,A,98,144,14
397,c,77,137,14
398,"0,01",86,136,14
399,A,17,273,21
400,B,17,223,22
401,C,17,173,23
402,D,17,123,24
403,E,17,73,3
404,F,17,23,3
405,1,35,7,3
406,2,85,7,25
407,3,135,7,26
408,4,185,7,27
409,5,235,7,28
410,6,285,7,29
411,7,335,7,30
412,1,34,289,31
413,5,235,289,32
414,6,285,289,33
415,7,335,289,34
416,8,385,289,35
417,2,84,289,36
418,3,134,289,37
419,4,184,289,38
420,A,412,273,39
421,B,412,223,40
422,C,412,173,41
423,D,412,123,42
424,E,412,73,43
425,F,412,23,44
426,A3,382,5,45
427,b,263,144,46
428,"0,01",274,144,46
429,A,287,144,46
430,r,264,137,46
431,"Ø0,05",272,137,46
432,B,288,137,46
433,X,171,259,47
434,Y,181,144,48
435,"\A1;0,7",66,74,49
436,"\A1;1,5{\H1.25;\S+0,1^ -0;}",64,64,13
437,OLE,136,131,14
438,\fArial|b0|i0;\H2.2000;Part Number:,174,122,50
439,"for the payment of damages. All rights reserved in the event of the grant of a patent, utility model or design. (ISO 16016)",79,157,14
440,\fArial|b0|i0;\H2.2000;Page:,244,122,51
441,\fArial|b0|i0;\H1.5217;Drawing Approval Stamp,105,115,52
442,\fArial|b0|i0;\H2.2000;ENGINE Division,152,115,53
443,\fArial|b0|i0;\H2.5000;Document type:,174,142,48
444,\fArial|b0|i0;\H2.5000;Description:,174,132,54
445,\fArial|b0|i0;\H2.0000;Weight:,79,142,14
446,\fArial|b0|i0;\H2.0000;Projection:,139,142,14
447,\fArial|b0|i0;\H2.0000;ISO 128\P\fArial|b0|i0;\H2.0000;Method 1,139,138,14
448,\fArial|b0|i0;\H2.0000;Scale:,99,142,14
449,\fArial|b0|i0;\H2.0000;Unit:,119,142,14
450,\fArial|b0|i0;\H2.5000;mm,128,136,14
451,\fArial|b0|i0;\H3.0000;/,250,117,51
452,5129275,202,115,55
453,Valve Lifter GV12.2,200,126,56
454,-,88,135,14
455,2 : 1,105,135,14
456,1,247,115,51
457,1,252,115,51
458,Component Drawing,200,136,56
459,1,233,64,57
460,Start drawing,238,64,57
461,-,338,65,58
462,04.04.2018,352,64,58
463,LKA,371,64,58
464,10.07.2018,382,64,58
465,KB,401,64,59
466,REVISION HISTORY,308,56,60
467,REV.,230,60,57
468,DESCRIPTION,273,60,61
469,SECTION,333,60,58
470,DATE,355,60,58
471,DRAWN BY,367,60,58
472,INSP. DATE,382,60,58
473,INSP. BY,398,60,59
474,\A1;5\U+00B0,51,117,62
475,"\A1;1,65",37,106,63
476,\A1;R2,30,126,24
477,"\A1;\fArial|b0|i0;\H1.7500;Ø4,5 x7 (\S+0,04^ +0,028;) \fAIGDT|b0|i0;\H1.7500;È",110,54,13
478,"Ra 0,8",227,93,64
479,"\A1;R0,8",87,113,52
480,b,203,265,65
481,"0,01",213,265,65
482,A,224,266,65
483,d,71,30,3
484,"0,2",81,29,3
485,A,89,30,3
486,B,95,30,3
487,"\A1;\fArial|b0|i0;\H1.7500;Ø4,1",94,110,52
